工学部　企業別就職者数（県外）　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上場,企　業　名,職種,５年度,,６年度,,７年度,,８年度,,９年度,,１０年度,,～１０年度,,１１年度,,１２年度,,１３年度,,１４年度,,１５年度,,１６年度,,１７年度,,１8年度,,１９年度,,２０年度,,21年度,,,,,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,,合計,,,,,,5～25
,,,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,知,情,生,電,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環,電,合計
,中部松下システム(株),Ｇ,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,中日新聞社,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,中菱エンジニアリング（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,1,0,0,0,0,1
,ツキオカフィルム製薬（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1,0,0,1
○,津田駒工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,2,0,0,0,0,3
○,ＴＨＫ(株),Ｅ,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,2,0,2,0,8
,ＴＲＩ情報システム(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,1,0,0,1
,ＴＩＳ（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,1,0,0,0,1
,(株)ＴＳＳ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,1,0,1,0,4
,ＴＦＢファクトリーズ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
,(株)ティエスティ,Ｑ,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
,ＴＣＭ(株)                             (旧東洋運搬機）     ,Ｅ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株)ディジタル・ツーカ北陸,Ｇ,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,(株)ティーネットジャパン,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,ディーピーティー(株),Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,1,0,0,0,1
,(株)テクニカフクイ,Ｅ,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,(株)テクノカルチャー,Ｈ,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,（株）テクノプロ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
,デジタルファッション(株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,テバ製薬(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,デュプロ北陸販売(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
○,(株)電算システム,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,2,6
,(株)天晴データネット,Ｇ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,(株)デンソ－,Ｅ,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,2
,（株）デンソークリエイト,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,デンソーテクノ(株) ,Ｅ,,,,,,,,,,,,1,,1,,,,1,,,,,1,1,,,,,2,1,1,1,1,2,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,5,9,7,7,6,7,41
,東海興業（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,3,0,0,0,0,0,3
,東海挾範(株),Ｅ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
○,東海ゴム工業(株),Ｅ,,,,,1,,,,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,1,0,5
,(株)東海スプリング製作所,Ｅ,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
,東海ソフト(株)　　　　　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0,2,0,1,0,4
,(株)東海理化電機製作所,Ｅ,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,0,2,7
○,東海旅客鉄道(株),Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0,0,0,0,0,
,（株）ドーガ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,2
,東京エレクトロン山梨（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,東京コンサルタンツ㈱,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,0,0,0,1,0,1
,東京コンピューターサービス(株),Ｒ,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,0,3,10
,東京製鋼,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,東京システムズ(株)　　,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,東京タングステン(株),Ｅ,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,2
,東京ドロウイング(株),Ｌ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,0,2,0,2,7
,東久(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,東興薬品工業（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,1,0,6
,(株)東振　　　　　　,Ｅ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,東芝情報制御システム(株)      ,Ｇ,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,東芝セラミックス(株)             ,Ｅ,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株)トウネツ        ,Ｅ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,東北日本電気ソフトウエア(株)      ,Ｇ,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,東洋機械金属(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
○,東洋電機製造(株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
○,東洋ゴム工業（株）　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,3,0,1,0,1,0,5
,東洋ハーネス(株)　　　,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,東陽理科学研究所  ,Ｅ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,2
,(株)東知,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,1,0,0,0,0,1
,東和工業(株),L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,1,0,0,0,0,1
○,(株)トーエネック,Ｄ,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,3,9
,トーカイ(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,トーテックアメニティ(株),Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,0,0,2,0,0,0,2
○,ＴＯＷＡ㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,0,0,0,0,1
○,凸版印刷(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,(株)豊幸,Ｅ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,豊興工業(株),Ｅ,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,2
,(株)トヨタコミュニケーションシステム,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
○,トヨタ車体(株),Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,トヨタ情報システム愛知(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,2,1,1,0,1,5
○,豊田合成(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,1,15
,豊田鉄工(株),Ｅ,,,,,,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,2,0,7
○,トヨタ紡織(株),Ｅ,1,,,,,,,,1,,,1,2,1,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,1,4,17
,トヨタテクニカルディペロップメント(株),Ｌ,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,2,,,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,3,5,3,4,3,4,22
,トヨタプロダクションエンジニアリング,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,2
,(株)トランテックス,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,0,0,0,0,1
,ドリームファクトリ,Ｇ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
○,酉島製作所,Ｅ,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株)トレックス,Ｊ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,（株）土木管理総合試験所,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1
,ナカシャクリエイティブ(株),Ｈ,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,中日本印刷(株),Ｅ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,中日本技研(株),Ｈ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,中日本ハイウェイ・エンジニアリング名古屋㈱,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,0,0,0,3,0,3
,長野電鉄(株) 　　,Ｇ,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,長野日本無線エンジニアリング(株)    ,Ｅ,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,中村科学工業㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,中村留精密工業(株),Ｅ,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,6,1,7,0,5,0,19
,中村ターンテック（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,0,0,0,0,1
,ナカモ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1
○,(株)ナカヨ通信機　　　　　　　　,Ｅ,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,名古屋製酪(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,2
,名古屋パルプ,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,ナックグループ  　　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
○,(株)ナナオ,Ｅ,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,ナベヤ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
,永島製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,1,0,0,0,0,1
,鍋屋バイテック(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,南部化成(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,新潟トランシス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,西垣林業（株）,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1
,西島(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
,(株)西島鉄工所,Ｅ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
○,西日本旅客鉄道(株）,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,1,1,2,1,1,4,1,10
,(株）西原ネオ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,0,0,0,0,1
,日亜化学工業 (株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1
○,ニチコン(株),Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,(株)日南,Ｅ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
○,日産化学工業(株),Ｅ,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,4
,(株)日産テクノ,Ｇ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
○,日信工業(株),Ｅ,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,0,3,0,3,0,11
,(株)ニッソーサービス,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,6
,日総興産(株),Ｇ,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,(株)ニッパ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株)ニッポンジーン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,0,0,0,2,0,0,2
,コマツＮＴＣ（旧　日平トヤマ）　　　　　　　　　,Ｅ,,,,,,,,1,1,2,1,,2,3,1,,,,,,1,,2,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,3,5,6,34
,日邦産業(株),Ｅ,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,ニデック(株),Ｅ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,日本安全産業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
○,日本板硝子,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,日本オーチス・エレベータ(株),Ｅ,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
○,日本カーボン(株),Ｅ,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,日本重化学工業(株) ,Ｅ,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,2,4
,日本ケーブル・システム(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
,日本コーテッドアブレーシブ(株)    　　,Ｅ,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
○,日本高周波鋼業,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
,日本原子力防護システム(株),Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,0,1,0,0,0,1
,日本コンピュータサイエンス(株)  ,Ｇ,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,日本コンピュータ･システム(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,日本サーボ(株) 　　,Ｅ,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,日本サーキット工業(株)       ,Ｇ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,日本食研,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1
,日本生命相互会社  ,Ｊ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株) 日本テクシード,Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1
,日本データコントロール,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,日本電気通信システム(株)      ,Ｇ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,日本電気マイコンテクノロジー(株)  ,Ｇ,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
○,日本電産（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,日本電子開発(株) 　,Ｈ,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
○,日本電話施設(株),Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,日本ビジネス開発(株)　,Ｇ,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
○,(株)日本プラスト　　　,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
